ESPN RNK	"PLAYER, TEAM POS"	    C/A	  YDS	   TD	  INT	 RUSH	  YDS	   TD	  REC	  YDS	   TD	PTS
1	"49ers, SF D/ST"	0/0	0	0	0	0	0	0	0	0	0	151
2	"Texans, HOU D/ST"	0/0	0	0	0	0	0	0	0	0	0	157
3	"Bears, CHI D/ST"	0/0	0	0	0	0	0	0	0	0	0	154
4	"Ravens, BAL D/ST"	0/0	0	0	0	0	0	0	0	0	0	162
5	"Eagles, PHI D/ST"	0/0	0	0	0	0	0	0	0	0	0	129
6	"Seahawks, SEA D/ST"	0/0	0	0	0	0	0	0	0	0	0	149
7	"Steelers, PIT D/ST"	0/0	0	0	0	0	0	0	0	0	0	145
8	"Jets, NYJ D/ST"	0/0	0	0	0	0	0	0	0	0	0	123
9	"Falcons, ATL D/ST"	0/0	0	0	0	0	0	0	0	0	0	118
10	"Lions, DET D/ST"	0/0	0	0	0	0	0	0	0	0	0	123
11	"Bills, BUF D/ST"	0/0	0	0	0	0	0	0	0	0	0	121
12	"Packers, GB D/ST"	0/0	0	0	0	0	0	0	0	0	0	128
13	"Cowboys, DAL D/ST"	0/0	0	0	0	0	0	0	0	0	0	110
14	"Chiefs, KC D/ST"	0/0	0	0	0	0	0	0	0	0	0	110
15	"Cardinals, ARI D/ST"	0/0	0	0	0	0	0	0	0	0	0	107
16	"Giants, NYG D/ST"	0/0	0	0	0	0	0	0	0	0	0	114
17	"Bengals, CIN D/ST"	0/0	0	0	0	0	0	0	0	0	0	99
18	"Rams, STL D/ST"	0/0	0	0	0	0	0	0	0	0	0	95
19	"Dolphins, MIA D/ST"	0/0	0	0	0	0	0	0	0	0	0	98
20	"Patriots, NE D/ST"	0/0	0	0	0	0	0	0	0	0	0	73
21	"Raiders, OAK D/ST"	0/0	0	0	0	0	0	0	0	0	0	103
22	"Titans, TEN D/ST"	0/0	0	0	0	0	0	0	0	0	0	89
23	"Broncos, DEN D/ST"	0/0	0	0	0	0	0	0	0	0	0	98
24	"Jaguars, JAC D/ST"	0/0	0	0	0	0	0	0	0	0	0	86
25	"Redskins, WAS D/ST"	0/0	0	0	0	0	0	0	0	0	0	82
26	"Browns, CLE D/ST"	0/0	0	0	0	0	0	0	0	0	0	74
27	"Chargers, SD D/ST"	0/0	0	0	0	0	0	0	0	0	0	86
28	"Vikings, MIN D/ST"	0/0	0	0	0	0	0	0	0	0	0	80
29	"Saints, NO D/ST"	0/0	0	0	0	0	0	0	0	0	0	77
30	"Buccaneers, TB D/ST"	0/0	0	0	0	0	0	0	0	0	0	78
31	"Panthers, CAR D/ST"	0/0	0	0	0	0	0	0	0	0	0	86
32	"Colts, IND D/ST"	0/0	0	0	0	0	0	0	0	0	0	65
