ESPN RNK	"PLAYER, TEAM POS"	    C/A	  YDS	   TD	  INT	 RUSH	  YDS	   TD	  REC	  YDS	   TD	PTS
1	"Stephen Gostkowski, NE K"	0/0	0	0	0	0	0	0	0	0	0	143
2	"Mason Crosby, GB K"	0/0	0	0	0	0	0	0	0	0	0	142
3	"David Akers, SF K"	0/0	0	0	0	0	0	0	0	0	0	139
4	"Sebastian Janikowski, Oak K"	0/0	0	0	0	0	0	0	0	0	0	138
5	"Garrett Hartley, NO K"	0/0	0	0	0	0	0	0	0	0	0	136
6	"Dan Bailey, Dal K"	0/0	0	0	0	0	0	0	0	0	0	135
7	"Alex Henery, Phi K"	0/0	0	0	0	0	0	0	0	0	0	132
8	"Matt Prater, Den K"	0/0	0	0	0	0	0	0	0	0	0	132
9	"Rob Bironas, Ten K"	0/0	0	0	0	0	0	0	0	0	0	130
10	"Robbie Gould, Chi K"	0/0	0	0	0	0	0	0	0	0	0	128
11	"Matt Bryant, Atl K"	0/0	0	0	0	0	0	0	0	0	0	124
12	"Neil Rackers, Wsh K"	0/0	0	0	0	0	0	0	0	0	0	123
13	"Mike Nugent, Cin K"	0/0	0	0	0	0	0	0	0	0	0	123
14	"Jason Hanson, Det K"	0/0	0	0	0	0	0	0	0	0	0	123
15	"Nate Kaeding, SD K"	0/0	0	0	0	0	0	0	0	0	0	126
16	"Randy Bullock, Hou K"	0/0	0	0	0	0	0	0	0	0	0	123
17	"Billy Cundiff, Bal K"	0/0	0	0	0	0	0	0	0	0	0	119
18	"Dan Carpenter, Mia K"	0/0	0	0	0	0	0	0	0	0	0	114
19	"Olindo Mare, Car K"	0/0	0	0	0	0	0	0	0	0	0	113
20	"Lawrence Tynes, NYG K"	0/0	0	0	0	0	0	0	0	0	0	111
21	"Josh Brown, NYJ K"	0/0	0	0	0	0	0	0	0	0	0	108
22	"Shaun Suisham, Pit K"	0/0	0	0	0	0	0	0	0	0	0	108
23	"Connor Barth, TB K"	0/0	0	0	0	0	0	0	0	0	0	107
24	"Steven Hauschka, Sea K"	0/0	0	0	0	0	0	0	0	0	0	106
25	"Greg Zuerlein, StL K"	0/0	0	0	0	0	0	0	0	0	0	105
26	"Rian Lindell, Buf K"	0/0	0	0	0	0	0	0	0	0	0	105
27	"Adam Vinatieri, Ind K"	0/0	0	0	0	0	0	0	0	0	0	103
28	"Jay Feely, Ari K"	0/0	0	0	0	0	0	0	0	0	0	102
29	"Ryan Succop, KC K"	0/0	0	0	0	0	0	0	0	0	0	101
30	"Phil Dawson, Cle K"	0/0	0	0	0	0	0	0	0	0	0	100
31	"Josh Scobee, Jac K"	0/0	0	0	0	0	0	0	0	0	0	100
32	"Blair Walsh, Min K"	0/0	0	0	0	0	0	0	0	0	0	98
33	"John Kasay, NO K"	0/0	0	0	0	0	0	0	0	0	0	0
34	"Nick Folk, NYJ K"	0/0	0	0	0	0	0	0	0	0	0	0
35	"Nick Novak, SD K"	0/0	0	0	0	0	0	0	0	0	0	0
36	"Graham Gano, Wsh K"	0/0	0	0	0	0	0	0	0	0	0	0
37	"Shayne Graham, Hou K"	0/0	0	0	0	0	0	0	0	0	0	0
38	"Ryan Longwell, FA K"	0/0	0	0	0	0	0	0	0	0	0	0
39	"Brandon Coutu, Jac K"	0/0	0	0	0	0	0	0	0	0	0	0
