ESPN RNK	"PLAYER, TEAM POS"	    C/A	  YDS	   TD	  INT	 RUSH	  YDS	   TD	  REC	  YDS	   TD	PTS
1	"Aaron Rodgers, GB QB"	348/501	4512	43	7	50	216	4	0	0	0	381
2	"Tom Brady, NE QB "	383/590	4924	40	13	32	167	2	0	0	0	354
3	"Drew Brees, NO QB"	430/614	4921	41	14	20	50	2	0	0	0	345
4	"Matthew Stafford, Det QB"	395/626	5012	41	17	20	60	1	0	0	0	338
5	"Cam Newton, Car QB"	302/506	3986	22	18	120	742	8	0	0	0	325
6	"Eli Manning, NYG QB"	379/600	4782	30	16	31	24	1	0	0	0	279
7	"Michael Vick, Phi QB"	236/392	3097	19	10	79	627	6	0	0	0	271
8	"Tony Romo, Dal QB"	330/515	4092	29	11	19	62	1	0	0	0	265
9	"Peyton Manning, Den QB"	371/569	4516	30	17	18	13	0	0	0	0	263
10	"Philip Rivers, SD QB"	357/557	4605	26	15	26	32	1	0	0	0	263
11	"Matt Ryan, Atl QB"	339/550	3803	28	14	38	84	1	0	0	0	246
12	"Ben Roethlisberger, Pit QB"	305/481	3876	25	14	36	100	1	0	0	0	235
13	"Matt Schaub, Hou QB"	258/408	3319	22	8	18	19	2	0	0	0	215
14	"Jay Cutler, Chi QB"	255/436	3209	20	11	26	116	1	0	0	0	197
15	"Robert Griffin III, Wsh QB"	267/463	3132	18	18	97	436	6	0	0	0	230
16	"Josh Freeman, TB QB"	298/499	3338	20	14	57	292	2	0	0	0	218
17	"Alex Smith, SF QB"	297/496	3415	16	8	32	102	3	0	0	0	206
18	"Andy Dalton, Cin QB"	290/490	3427	22	15	29	131	0	0	0	0	202
19	"Joe Flacco, Bal QB"	311/522	3621	21	13	27	108	1	0	0	0	208
20	"Carson Palmer, Oak QB"	264/445	3352	20	17	24	41	0	0	0	0	182
21	"Sam Bradford, StL QB"	265/461	3153	16	14	24	58	0	0	0	0	161
22	"Matt Flynn, Sea QB"	238/410	2628	16	12	24	44	2	0	0	0	157
23	"Ryan Fitzpatrick, Buf QB"	307/510	3357	21	20	33	128	0	0	0	0	182
24	"Andrew Luck, Ind QB"	299/534	3408	15	18	29	62	2	0	0	0	170
25	"Matt Cassel, KC QB"	227/390	2542	15	10	24	86	0	0	0	0	147
26	"Tim Tebow, NYJ QB"	130/262	1742	12	10	103	557	6	0	0	0	178
27	"Kevin Kolb, Ari QB"	180/304	2200	15	11	14	51	1	0	0	0	131
28	"Mark Sanchez, NYJ QB"	195/351	2184	17	17	36	80	2	0	0	0	131
29	"Christian Ponder, Min QB"	207/370	2359	17	15	32	251	0	0	0	0	149
30	"Matt Moore, Mia QB"	156/267	1825	15	10	24	67	1	0	0	0	117
31	"Jake Locker, Ten QB"	124/218	1773	10	10	21	91	2	0	0	0	107
32	"Brandon Weeden, Cle QB"	248/435	2557	16	12	20	27	0	0	0	0	136
33	"Matt Hasselbeck, Ten QB"	174/289	1947	17	15	21	31	0	0	0	0	114
34	"Blaine Gabbert, Jac QB"	131/247	1413	12	9	47	114	1	0	0	0	95
35	"Chad Henne, Jac QB"	115/196	1310	12	8	18	99	1	0	0	0	91
36	"John Skelton, Ari QB"	111/206	1354	8	9	13	61	0	0	0	0	72
37	"Ryan Tannehill, Mia QB"	69/130	841	7	7	14	15	0	0	0	0	46
38	"Joe Webb, Min QB"	51/91	530	3	4	26	130	2	0	0	0	46
39	"Colt McCoy, Cle QB"	61/107	640	4	3	17	71	0	0	0	0	40
40	"Brian Hoyer, NE QB"	0/0	0	0	0	0	0	0	0	0	0	0
