ESPN RNK	"PLAYER, TEAM POS"	    C/A	  YDS	   TD	  INT	 RUSH	  YDS	   TD	  REC	  YDS	   TD	PT
1	"Arian Foster, Hou RB"	0/0	0	0	0	310	1459	12	63	730	2	296
2	"Ray Rice, Bal RB"	0/0	0	0	0	282	1317	11	74	679	3	278
3	"LeSean McCoy, Phi RB"	0/0	0	0	0	269	1294	12	38	285	3	245
4	"Maurice Jones-Drew, Jac RB"	0/0	0	0	0	298	1371	9	33	300	2	229
5	"Chris Johnson, Ten RB"	0/0	0	0	0	300	1274	7	59	428	1	215
6	"Ryan Mathews, SD RB"	0/0	0	0	0	257	1261	8	34	319	1	207
7	"Marshawn Lynch, Sea RB"	0/0	0	0	0	266	1073	11	25	187	1	193
8	"Matt Forte, Chi RB"	0/0	0	0	0	257	1161	5	50	512	1	199
9	"DeMarco Murray, Dal RB"	0/0	0	0	0	203	1053	7	33	322	1	183
10	"Jamaal Charles, KC RB  Q"	0/0	0	0	0	241	1215	3	40	390	2	186
11	"Adrian Peterson, Min RB  Q"	0/0	0	0	0	248	1124	8	22	197	0	177
12	"Darren McFadden, Oak RB"	0/0	0	0	0	206	988	7	44	339	1	175
13	"Steven Jackson, StL RB"	0/0	0	0	0	284	1176	6	38	313	0	182
14	"Fred Jackson, Buf RB"	0/0	0	0	0	238	1099	7	40	382	0	185
15	"Trent Richardson, Cle RB"	0/0	0	0	0	286	1281	7	29	291	1	199
16	"Michael Turner, Atl RB"	0/0	0	0	0	273	1145	9	10	122	1	182
17	"Frank Gore, SF RB"	0/0	0	0	0	254	1118	7	28	224	1	177
18	"Roy Helu, Wsh RB  P"	0/0	0	0	0	197	893	5	53	421	2	169
19	"Darren Sproles, NO RB"	0/0	0	0	0	82	475	1	80	751	6	164
20	"Ahmad Bradshaw, NYG RB"	0/0	0	0	0	224	934	8	37	260	1	167
21	"Willis McGahee, Den RB"	0/0	0	0	0	203	848	9	12	57	0	139
22	"Reggie Bush, Mia RB"	0/0	0	0	0	187	894	5	41	291	1	150
23	"BenJarvus Green-Ellis, Cin RB"	0/0	0	0	0	217	805	9	7	44	0	138
24	"Jonathan Stewart, Car RB"	0/0	0	0	0	158	772	4	44	412	1	144
25	"Shonn Greene, NYJ RB"	0/0	0	0	0	237	1002	4	32	206	0	142
26	"Beanie Wells, Ari RB"	0/0	0	0	0	228	976	7	9	80	0	143
27	"Ben Tate, Hou RB"	0/0	0	0	0	149	801	6	15	103	1	126
28	"DeAngelo Williams, Car RB"	0/0	0	0	0	177	858	3	22	175	1	124
29	"Jahvid Best, Det RB"	0/0	0	0	0	149	700	2	48	481	1	134
30	"Isaac Redman, Pit RB"	0/0	0	0	0	194	834	5	15	101	1	123
31	"Stevan Ridley, NE RB"	0/0	0	0	0	161	753	7	12	77	0	122
32	"Michael Bush, Chi RB"	0/0	0	0	0	164	690	7	21	200	0	129
33	"Mark Ingram, NO RB"	0/0	0	0	0	183	765	7	8	41	0	120
34	"C.J. Spiller, Buf RB"	0/0	0	0	0	123	645	4	41	372	1	127
35	"Doug Martin, TB RB"	0/0	0	0	0	196	841	4	37	376	0	141
36	"Peyton Hillis, KC RB"	0/0	0	0	0	198	789	6	27	179	0	127
37	"Toby Gerhart, Min RB"	0/0	0	0	0	135	656	4	24	190	2	118
