ESPN RNK	"PLAYER, TEAM POS"	    C/A	  YDS	   TD	  INT	 RUSH	  YDS	   TD	  REC	  YDS	   TD	PTS
1	"Rob Gronkowski, NE TE"	0/0	0	0	0	0	0	0	80	1191	12	191
2	"Jimmy Graham, NO TE"	0/0	0	0	0	0	0	0	87	1265	10	186
3	"Antonio Gates, SD TE"	0/0	0	0	0	0	0	0	73	948	8	142
4	"Vernon Davis, SF TE"	0/0	0	0	0	0	0	0	70	900	8	138
5	"Jason Witten, Dal TE"	0/0	0	0	0	0	0	0	77	962	6	132
6	"Jermichael Finley, GB TE"	0/0	0	0	0	0	0	0	59	833	6	119
7	"Aaron Hernandez, NE TE"	0/0	0	0	0	0	0	0	67	793	7	121
8	"Tony Gonzalez, Atl TE"	0/0	0	0	0	0	0	0	78	819	6	117
9	"Fred Davis, Wsh TE"	0/0	0	0	0	0	0	0	61	807	5	110
10	"Brandon Pettigrew, Det TE"	0/0	0	0	0	0	0	0	70	700	5	100
11	"Jared Cook, Ten TE"	0/0	0	0	0	0	0	0	66	693	6	105
12	"Jacob Tamme, Den TE"	0/0	0	0	0	0	0	0	63	779	5	107
13	"Owen Daniels, Hou TE"	0/0	0	0	0	0	0	0	53	650	5	95
14	"Brent Celek, Phi TE"	0/0	0	0	0	0	0	0	59	694	5	99
15	"Dustin Keller, NYJ TE"	0/0	0	0	0	0	0	0	57	701	4	94
16	"Kellen Winslow, Sea TE"	0/0	0	0	0	0	0	0	70	687	4	92
17	"Martellus Bennett, NYG TE"	0/0	0	0	0	0	0	0	39	572	4	81
18	"Jermaine Gresham, Cin TE"	0/0	0	0	0	0	0	0	50	530	5	83
19	"Coby Fleener, Ind TE"	0/0	0	0	0	0	0	0	47	514	5	81
20	"Greg Olsen, Car TE"	0/0	0	0	0	0	0	0	48	526	5	82
21	"Kyle Rudolph, Min TE"	0/0	0	0	0	0	0	0	40	575	3	75
22	"Marcedes Lewis, Jac TE"	0/0	0	0	0	0	0	0	38	397	4	63
23	"Ed Dickson, Bal TE"	0/0	0	0	0	0	0	0	45	476	3	65
24	"Dennis Pitta, Bal TE"	0/0	0	0	0	0	0	0	32	356	4	59
25	"Joel Dreessen, Den TE"	0/0	0	0	0	0	0	0	30	350	5	65
26	"Heath Miller, Pit TE"	0/0	0	0	0	0	0	0	52	546	1	60
27	"Evan Moore, Cle TE"	0/0	0	0	0	0	0	0	33	321	3	50
28	"Anthony Fasano, Mia TE"	0/0	0	0	0	0	0	0	31	358	3	53
29	"Tony Moeaki, KC TE"	0/0	0	0	0	0	0	0	38	397	2	51
30	"Kellen Davis, Chi TE"	0/0	0	0	0	0	0	0	21	252	4	49
31	"John Carlson, Min TE  P"	0/0	0	0	0	0	0	0	21	274	2	39
32	"Benjamin Watson, Cle TE"	0/0	0	0	0	0	0	0	35	346	2	46
33	"Tony Scheffler, Det TE"	0/0	0	0	0	0	0	0	28	341	3	52
34	"Dallas Clark, TB TE"	0/0	0	0	0	0	0	0	26	247	3	42
35	"Kevin Boss, KC TE"	0/0	0	0	0	0	0	0	21	252	2	37
36	"Dwayne Allen, Ind TE"	0/0	0	0	0	0	0	0	20	206	3	38
37	"Chris Cooley, Wsh TE"	0/0	0	0	0	0	0	0	0	0	0	0
38	"Todd Heap, Ari TE"	0/0	0	0	0	0	0	0	0	0	0	0
39	"Lance Kendricks, StL TE"	0/0	0	0	0	0	0	0	0	0	0	0
40	"Brandon Myers, Oak TE"	0/0	0	0	0	0	0	0	0	0	0	0
