ESPN RNK	"PLAYER, TEAM POS"	    C/A	  YDS	   TD	  INT	 RUSH	  YDS	   TD	  REC	  YDS	   TD	PTS
1	"Calvin Johnson, Det WR"	0/0	0	0	0	3	32	0	92	1511	12	224
2	"Larry Fitzgerald, Ari WR"	0/0	0	0	0	0	0	0	84	1309	9	184
3	"Andre Johnson, Hou WR"	0/0	0	0	0	2	14	0	81	1234	8	172
4	"Roddy White, Atl WR"	0/0	0	0	0	0	0	0	101	1194	9	173
5	"Greg Jennings, GB WR"	0/0	0	0	0	0	0	0	73	1125	9	166
6	"Mike Wallace, Pit WR"	0/0	0	0	0	5	54	0	72	1180	8	169
7	"Wes Welker, NE WR"	0/0	0	0	0	2	3	0	118	1343	7	176
8	"Hakeem Nicks, NYG WR"	0/0	0	0	0	0	0	0	73	1125	8	160
9	"A.J. Green, Cin WR"	0/0	0	0	0	4	51	0	76	1223	7	169
10	"Victor Cruz, NYG WR"	0/0	0	0	0	0	0	0	72	1107	7	150
11	"Julio Jones, Atl WR"	0/0	0	0	0	7	68	0	74	1158	6	155
12	"Brandon Marshall, Chi WR"	0/0	0	0	0	2	20	0	80	1129	6	148
13	"Jordy Nelson, GB WR"	0/0	0	0	0	0	0	0	74	1131	6	149
14	"Steve Smith, Car WR"	0/0	0	0	0	4	36	0	68	1055	7	148
15	"Dez Bryant, Dal WR"	0/0	0	0	0	0	0	0	64	948	9	146
16	"Marques Colston, NO WR"	0/0	0	0	0	0	0	0	76	1073	7	147
17	"Brandon Lloyd, NE WR"	0/0	0	0	0	0	0	0	62	944	7	136
18	"Miles Austin, Dal WR"	0/0	0	0	0	2	12	0	63	920	8	141
19	"Vincent Jackson, TB WR"	0/0	0	0	0	3	45	0	65	1054	7	149
20	"Percy Harvin, Min WR"	0/0	0	0	0	37	263	1	76	900	5	150
21	"Dwayne Bowe, KC WR"	0/0	0	0	0	0	0	0	73	1045	8	152
22	"Jeremy Maclin, Phi WR"	0/0	0	0	0	3	14	0	68	934	8	142
23	"Steve Johnson, Buf WR"	0/0	0	0	0	0	0	0	82	984	6	134
24	"Demaryius Thomas, Den WR"	0/0	0	0	0	0	0	0	63	1023	6	138
25	"Antonio Brown, Pit WR"	0/0	0	0	0	3	9	0	80	1045	4	128
26	"Eric Decker, Den WR"	0/0	0	0	0	0	0	0	80	1056	5	135
27	"DeSean Jackson, Phi WR"	0/0	0	0	0	10	73	0	55	987	6	141
28	"Kenny Britt, Ten WR"	0/0	0	0	0	0	0	0	57	1007	6	134
29	"Robert Meachem, SD WR"	0/0	0	0	0	6	14	0	67	967	6	133
30	"Pierre Garcon, Wsh WR"	0/0	0	0	0	3	8	0	66	890	6	123
31	"Torrey Smith, Bal WR"	0/0	0	0	0	4	31	0	55	969	4	123
32	"Denarius Moore, Oak WR"	0/0	0	0	0	4	27	0	50	856	6	123
33	"Malcom Floyd, SD WR"	0/0	0	0	0	0	0	0	49	890	5	119
34	"Santonio Holmes, NYJ WR"	0/0	0	0	0	3	25	0	56	753	7	117
35	"Lance Moore, NO WR"	0/0	0	0	0	0	0	0	63	747	7	116
36	"Anquan Boldin, Bal WR"	0/0	0	0	0	0	0	0	60	841	5	114
37	"Michael Crabtree, SF WR"	0/0	0	0	0	0	0	0	59	786	5	108
38	"Sidney Rice, Sea WR"	0/0	0	0	0	0	0	0	48	702	5	100
39	"Reggie Wayne, Ind WR"	0/0	0	0	0	0	0	0	62	711	5	101
40	"Darrius Heyward-Bey, Oak WR"	0/0	0	0	0	0	0	0	50	784	4	102
41	"Titus Young, Det WR"	0/0	0	0	0	5	32	0	65	744	5	107
42	"Justin Blackmon, Jac WR"	0/0	0	0	0	0	0	0	47	665	6	102
43	"Rueben Randle, NYG WR"	0/0	0	0	0	0	0	0	44	669	5	96
44	"Laurent Robinson, Jac WR"	0/0	0	0	0	0	0	0	40	543	6	90
45	"Mike Williams, TB WR"	0/0	0	0	0	0	0	0	50	615	5	89
46	"Nate Washington, Ten WR"	0/0	0	0	0	2	5	0	53	712	4	95
47	"Mario Manningham, SF WR"	0/0	0	0	0	0	0	0	38	530	5	83
48	"Michael Floyd, Ari WR"	0/0	0	0	0	0	0	0	50	643	5	94
49	"Nate Burleson, Det WR"	0/0	0	0	0	9	74	0	55	655	4	94
50	"Randy Moss, SF WR"	0/0	0	0	0	0	0	0	32	434	5	73
51	"Leonard Hankerson, Wsh WR"	0/0	0	0	0	0	0	0	55	672	4	91
52	"Jon Baldwin, KC WR"	0/0	0	0	0	0	0	0	52	666	2	78
53	"Greg Little, Cle WR"	0/0	0	0	0	3	15	0	60	727	2	83
54	"Brian Quick, StL WR"	0/0	0	0	0	0	0	0	57	689	4	92
55	"Plaxico Burress, FA WR"	0/0	0	0	0	0	0	0	38	502	6	86
56	"Brandon LaFell, Car WR"	0/0	0	0	0	0	0	0	53	721	3	90
57	"Kendall Wright, Ten WR"	0/0	0	0	0	4	43	0	33	522	3	74
58	"James Jones, GB WR"	0/0	0	0	0	0	0	0	37	544	4	78
59	"Andre Caldwell, Den WR"	0/0	0	0	0	0	0	0	50	504	3	68
60	"Eddie Royal, SD WR"	0/0	0	0	0	7	50	0	33	432	2	60
61	"Randall Cobb, GB WR"	0/0	0	0	0	6	37	0	34	455	2	60
62	"Jacoby Ford, Oak WR"	0/0	0	0	0	5	55	0	35	561	1	65
63	"Vincent Brown, SD WR"	0/0	0	0	0	0	0	0	33	565	2	68
64	"Alshon Jeffery, Chi WR"	0/0	0	0	0	0	0	0	38	520	3	70
65	"Braylon Edwards, FA WR"	0/0	0	0	0	0	0	0	28	390	3	57
66	"Stephen Hill, NYJ WR"	0/0	0	0	0	0	0	0	25	342	3	52
67	"Doug Baldwin, Sea WR"	0/0	0	0	0	0	0	0	42	561	2	68
68	"Jerome Simpson, Min WR"	0/0	0	0	0	0	0	0	38	589	2	70
69	"Steve Breaston, KC WR"	0/0	0	0	0	2	25	0	55	678	2	81
70	"Jabar Gaffney, NE WR"	0/0	0	0	0	0	0	0	34	425	4	64
71	"Davone Bess, Mia WR"	0/0	0	0	0	2	7	0	70	721	1	74
